scorer,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000
bodyparts,nose,nose,nose,left paw,left paw,left paw,right paw,right paw,right paw,left hindpaw,left hindpaw,left hindpaw,right hindpaw,right hindpaw,right hindpaw,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
32,513.4822998046875,238.48948669433594,0.008708176203072071,506.7497253417969,217.581787109375,0.999981164932251,532.0691528320312,206.8779296875,0.9999995231628418,497.3726501464844,155.81893920898438,0.9999986886978149,542.203857421875,180.40097045898438,0.9999996423721313,523.037109375,150.21273803710938,0.9999996423721313
33,512.8120727539062,252.4080352783203,0.6799675822257996,505.7776794433594,216.43939208984375,0.999983549118042,526.4647827148438,227.1464080810547,0.9999991655349731,497.2497253417969,156.1680908203125,0.9999982118606567,542.8138427734375,180.61502075195312,0.9999995231628418,523.1138305664062,151.5981903076172,0.9999991655349731
34,509.8878479003906,256.167236328125,0.9998632669448853,506.3800354003906,217.4636688232422,0.9999830722808838,525.5704956054688,235.8940887451172,0.9999959468841553,496.861083984375,159.60256958007812,0.999988317489624,542.6244506835938,180.34933471679688,0.9999996423721313,522.9601440429688,153.9402313232422,0.9999958276748657
35,511.43817138671875,259.2586975097656,0.9999470710754395,506.056396484375,218.4886474609375,0.9999608993530273,524.2567749023438,239.8385467529297,0.999993085861206,498.0622863769531,162.87615966796875,0.9999871253967285,543.2713623046875,180.7135772705078,0.9999997615814209,522.5811767578125,156.9133758544922,0.9999947547912598
36,512.378662109375,261.94195556640625,0.99992835521698,505.7137451171875,218.5472869873047,0.9999790191650391,522.2154541015625,240.7622528076172,0.9999978542327881,495.0774230957031,176.64797973632812,0.9999992847442627,543.2211303710938,180.85166931152344,0.9999997615814209,521.362548828125,160.54531860351562,0.9999957084655762
37,510.53741455078125,266.1481628417969,0.99986732006073,505.2667541503906,218.11895751953125,0.9999758005142212,522.5891723632812,242.27723693847656,0.9999995231628418,494.0607604980469,187.2128143310547,0.9999992847442627,543.825439453125,181.60032653808594,0.9999997615814209,520.5794067382812,163.7031707763672,0.9999998807907104
38,509.6566467285156,268.1853942871094,0.999964714050293,505.8505554199219,219.22679138183594,0.9999874830245972,522.166748046875,242.87448120117188,0.9999995231628418,494.69091796875,198.9658203125,0.9999998807907104,544.3193359375,182.14645385742188,0.9999996423721313,519.7347412109375,166.61239624023438,0.9999998807907104
39,508.4673767089844,272.1597900390625,0.9999887943267822,505.28118896484375,219.9750213623047,0.9999804496765137,522.3312377929688,242.91098022460938,0.9999994039535522,496.11236572265625,200.41586303710938,0.9999994039535522,544.7274780273438,183.22140502929688,0.9999991655349731,519.3547973632812,171.1155548095703,0.9999995231628418
40,508.6277770996094,276.155517578125,0.9999972581863403,504.5909729003906,226.48455810546875,0.9999974966049194,522.44677734375,243.30718994140625,0.9999996423721313,496.31365966796875,200.86729431152344,0.9999994039535522,545.40283203125,184.81417846679688,0.9999979734420776,519.7354736328125,175.71279907226562,0.9999994039535522
41,507.4698486328125,281.3660888671875,0.999951958656311,501.76947021484375,248.20074462890625,0.99998939037323,522.073974609375,243.9227294921875,0.9999985694885254,495.38177490234375,201.87542724609375,0.9999995231628418,544.8713989257812,187.5181121826172,0.999994158744812,520.81640625,180.99478149414062,0.9999998807907104
42,507.2015075683594,288.8453674316406,0.9999948740005493,500.5178527832031,259.58929443359375,0.9999954700469971,521.1737060546875,244.3995361328125,0.9999982118606567,494.3359680175781,202.14254760742188,0.999998927116394,544.59033203125,206.2740478515625,0.9999984502792358,521.0842895507812,185.59494018554688,0.9999990463256836
43,506.39227294921875,295.207275390625,0.9999492168426514,500.76812744140625,269.00567626953125,0.9999715089797974,521.7117309570312,243.5631866455078,0.9999983310699463,494.3177490234375,202.7708740234375,0.9999984502792358,541.13232421875,217.5876007080078,0.9999902248382568,520.53369140625,189.62179565429688,0.9999988079071045
44,505.6707763671875,297.95648193359375,0.9995076656341553,501.031005859375,271.29925537109375,0.9999551773071289,521.944091796875,243.161865234375,0.9999896287918091,494.5,202.75367736816406,0.9999985694885254,535.5558471679688,226.50210571289062,0.9999966621398926,519.5368041992188,193.6562957763672,0.9999988079071045
45,507.2547607421875,301.85931396484375,0.9989867806434631,500.6829833984375,272.3573303222656,0.9999762773513794,521.8182373046875,245.09884643554688,0.9999611377716064,494.6328430175781,203.01141357421875,0.9999984502792358,534.9956665039062,227.55413818359375,0.9999996423721313,519.2272338867188,198.6198272705078,0.9999994039535522
46,515.3788452148438,303.65606689453125,0.9854323267936707,500.9521179199219,271.81414794921875,0.9999871253967285,520.076416015625,256.6372985839844,0.999997615814209,493.3246765136719,203.89285278320312,0.9999964237213135,535.4884033203125,228.0259552001953,0.9999997615814209,518.1786499023438,198.84458923339844,0.9999998807907104
47,519.8475952148438,306.13824462890625,0.993459165096283,501.0647888183594,273.1360168457031,0.9999972581863403,523.4585571289062,274.78369140625,0.9999998807907104,493.0705261230469,204.4814453125,0.9999954700469971,535.6199340820312,228.70611572265625,0.9999997615814209,518.5989379882812,199.63064575195312,0.9999997615814209
48,520.3607177734375,305.4848327636719,0.9999707937240601,501.04791259765625,273.46136474609375,0.9999983310699463,524.578125,280.8238220214844,0.9999994039535522,493.0605163574219,205.28750610351562,0.9999837875366211,536.0385131835938,228.86166381835938,0.9999996423721313,519.493896484375,201.0966033935547,0.9999991655349731
49,521.140625,306.541748046875,0.9999692440032959,501.5362548828125,273.4364929199219,0.9999977350234985,525.6555786132812,285.9368591308594,0.9999985694885254,493.6639404296875,210.27621459960938,0.9999951124191284,536.260986328125,228.75433349609375,0.9999994039535522,518.7257690429688,203.01161193847656,0.9999990463256836
50,521.6312255859375,308.4339904785156,0.9999575614929199,501.66168212890625,273.71588134765625,0.9999983310699463,525.4930419921875,288.4700012207031,0.9999948740005493,490.5877990722656,226.1167449951172,0.9999994039535522,536.4968872070312,229.16064453125,0.9999990463256836,516.879150390625,204.4705810546875,0.9999997615814209
51,522.032958984375,307.796875,0.9999467134475708,501.5630187988281,273.7464599609375,0.9999996423721313,525.3446044921875,289.98638916015625,0.999992847442627,489.5575866699219,237.14219665527344,0.9999984502792358,537.0330810546875,229.38290405273438,0.9999983310699463,514.2003173828125,205.49269104003906,0.9999997615814209
